epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.251,0.7888,6.25054,1.11863,0.82945,0.81132,0.88513,0.78398,0.50105,2.49474,0.90727,2e-05,2e-05,2e-05
2,458.999,0.60237,3.46284,0.96882,0.99215,1,0.995,0.88838,0.48084,3.34295,0.89419,5.406e-05,5.406e-05,5.406e-05
3,712.234,0.56194,2.40265,0.90892,0.99602,1,0.995,0.89928,0.47485,3.53595,0.87766,8.02e-05,8.02e-05,8.02e-05
4,970.079,0.48632,2.03519,0.88037,0.99686,1,0.995,0.90287,0.48325,2.44173,0.87113,9.842e-05,9.842e-05,9.842e-05
5,1223.5,0.47006,1.57983,0.86571,0.99702,1,0.995,0.90274,0.48587,2.16201,0.86676,0.00010872,0.00010872,0.00010872
6,1481.18,0.47532,1.36927,0.88854,0.99699,1,0.995,0.9,0.48875,1.99517,0.8647,0.0001111,0.0001111,0.0001111
7,1746.9,0.43856,1.14098,0.85566,0.99691,1,0.995,0.89031,0.4849,1.74078,0.86492,0.00010556,0.00010556,0.00010556
8,2007.76,0.45439,0.98826,0.848,0.99622,1,0.995,0.89331,0.47607,1.49385,0.86429,9.21e-05,9.21e-05,9.21e-05
9,2264.98,0.43846,0.86791,0.83941,0.99625,1,0.995,0.89926,0.4754,1.32534,0.86412,7.072e-05,7.072e-05,7.072e-05
10,2523.5,0.41513,0.79831,0.83805,0.99636,1,0.995,0.90464,0.47657,1.1965,0.86347,4.142e-05,4.142e-05,4.142e-05
